council_name,launch_priority,workspace_status,source_discovery_status,collection_target_type,launch_usefulness,evidence_type,machine_readable_status,matched_source_owners,matched_source_datasets,matched_source_urls,discovery_reference_urls,next_action,matched_entity_count,notes
Alpine Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Ararat Rural City Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Ballarat City Council,regional,covered,seeded,direct_public_parking_zones,high,dataset_in_workspace,in_workspace,City of Ballarat,Car Parking Zones | Parking Meters,https://discover.data.vic.gov.au/dataset/car-parking-zones | https://discover.data.vic.gov.au/dataset/parking-meters,,,906,Official council-owned parking source is already represented in the latest research export.
Banyule City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Bass Coast Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Baw Baw Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Bayside City Council,metro,missing,evidence_found_no_dataset,unknown_policy_only,low,strategy_only,not_found_yet,,,,https://yoursay.bayside.vic.gov.au/Parking,"Search for ArcGIS, CKAN, or downloadable parking layers; current lead is only policy/strategy content.",0,"No official council-owned parking dataset has been captured in the workspace yet. Official parking strategy and policy references found, but no machine-readable parking dataset identified in this pass."
Benalla Rural City Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Boroondara City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Borough of Queenscliffe Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Brimbank City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Buloke Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Campaspe Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Cardinia Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Casey City Council,regional,covered,seeded,direct_public_parking_zones,high,dataset_in_workspace,in_workspace,City of Casey,City of Casey Parking Restriction Zones,https://discover.data.vic.gov.au/dataset/city-of-casey-parking-restriction-zones,,,4286,Official council-owned parking source is already represented in the latest research export.
Central Goldfields Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Colac Otway Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Corangamite Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Darebin City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
East Gippsland Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Frankston City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Gannawarra Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Glen Eira City Council,metro,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Glenelg Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
Golden Plains Shire Council,regional,missing,needs_discovery,unknown,unknown,,unknown,,,,,"Search for official open-data, ArcGIS, CKAN, or documented API sources.",0,No official council-owned parking dataset has been captured in the workspace yet. No official parking source lead has been recorded yet.
